#Vertex_X,Vertex_Y,Vertex_Z,Normal_X,Normal_Y,Normal_Z
-93.87030029296875,-85.61924743652344,0.0,0.012279214337468147,-0.9999246597290039,0.0
-93.77027893066406,-85.61754608154297,0.0,0.017008105292916298,-0.9998553395271301,0.0
-93.6702651977539,-85.6158447265625,0.0,0.01689309813082218,-0.9998573064804077,0.0
-93.57023620605469,-85.61416625976562,0.0,0.0167018324136734,-0.9998604655265808,0.0
-93.47021484375,-85.61250305175781,0.0,0.016664989292621613,-0.9998611211776733,0.0
-93.37020111083984,-85.61083221435547,0.0,0.012508654966950417,-0.9999217391014099,0.0
-93.27017211914062,-85.61000061035156,0.0,0.004156707786023617,-0.9999914169311523,0.0
-93.17013549804688,-85.61000061035156,0.0,0.0,-1.0,0.0
-93.07009887695312,-85.61000061035156,0.0,0.004157024435698986,-0.9999914169311523,0.0
-92.97007751464844,-85.60916900634766,0.0,0.012508337385952473,-0.9999217391014099,0.0
-92.87005615234375,-85.60749816894531,0.0,0.016664352267980576,-0.9998610615730286,0.0
-92.77003479003906,-85.6058349609375,0.0,0.012507704086601734,-0.9999217391014099,0.0
-92.66999816894531,-85.60499572753906,0.0,0.004156387411057949,-0.9999913573265076,0.0
-92.56996154785156,-85.6050033569336,0.0,-3.8133006455609575e-05,-1.0,0.0
-92.46993255615234,-85.6050033569336,0.0,0.004271105397492647,-0.9999908804893494,0.0
-92.36990356445312,-85.6041488647461,0.0,0.012736785225570202,-0.9999188780784607,0.0
-92.26988220214844,-85.60245513916016,0.0,0.01693185791373253,-0.9998566508293152,0.0
-92.16986846923828,-85.60076141357422,0.0,0.012279864400625229,-0.9999245405197144,0.0
-92.06983947753906,-85.5999984741211,0.0,0.0038135081995278597,-0.9999927282333374,0.0
-91.96980285644531,-85.5999984741211,0.0,0.0,-1.0,0.0
-91.86976623535156,-85.5999984741211,0.0,0.0,-1.0,0.0
-91.76972961425781,-85.5999984741211,0.0,0.0,-1.0,0.0
-91.66969299316406,-85.5999984741211,0.0,0.0,-1.0,0.0
-91.56966400146484,-85.5999984741211,0.0,3.8133006455609575e-05,-1.0,0.0
-91.4696273803711,-85.59999084472656,0.0,0.0,-1.0,0.0
-91.36959075927734,-85.5999984741211,0.0,-3.8133006455609575e-05,-1.0,0.0
-91.2695541381836,-85.5999984741211,0.0,-3.8133006455609575e-05,-1.0,0.0
-91.16951751708984,-85.60000610351562,0.0,2.9112234845030116e-09,-1.0,0.0
-91.06948852539062,-85.5999984741211,0.0,3.813591683865525e-05,-1.0,0.0
-90.96945190429688,-85.5999984741211,0.0,0.0,-1.0,0.0
-90.86941528320312,-85.5999984741211,0.0,0.0,-1.0,0.0
-90.76937866210938,-85.5999984741211,0.0,0.0,-1.0,0.0
-90.66934204101562,-85.5999984741211,0.0,0.0,-1.0,0.0
-90.56930541992188,-85.5999984741211,0.0,0.0,-1.0,0.0
